HA,p38,pAKT,pCREB,pERK,pS6,variant_ID,variant_ID_num
692695,143338,64594,22112,7015.81,35957.5,WT_1,1
12565.7,18515.5,6771.73,8321.02,8525.41,2818.54,WT_1,1
635640,88512.7,38828.6,24409.5,33120.4,2309.25,WT_1,1
13836.4,17490.2,4282.29,9228.87,8655.09,1086.02,WT_1,1
18730.3,19702,4266.93,6541.22,5913.14,-1170.84,WT_1,1
17346.6,16342.2,5376.3,13111.4,8217.92,6462.01,WT_1,1
1192450,340406,182826,100980,80914.6,66354.8,WT_1,1
13873.8,17313.9,5342.57,9457.13,9697.07,6319.63,WT_1,1
10012.6,19185.7,3584.8,8592.15,9168.02,9879.6,WT_1,1
1243760,304252,186783,69858.6,85805.8,104821,WT_1,1
991530,267071,139654,126096,116107,110937,WT_1,1
1294080,169330,79325,39485.6,20066.3,54282,WT_1,1
640043,90321.9,43847.5,19230.3,12316.8,17286.2,WT_1,1
13572.4,21615.1,6190.23,12078.5,11317.9,3503.74,WT_1,1
11100.7,25919.8,6797.86,13332.5,4527.99,1547.62,WT_1,1
1131230,285940,122140,62263.6,48440.7,42787,WT_1,1
773109,129074,58700,30179,21271.2,32642.9,WT_1,1
1485.76,30366.8,4098.73,8323.5,2792.78,842.484,WT_1,1
709040,77134.5,22966.5,20181.7,23257,32095.7,WT_1,1
13358,20253.1,11775.2,13767.1,5226.28,8029.79,WT_1,1
7265.69,27989.5,6463.61,15081.6,4028.05,1803.68,WT_1,1
1089440,255688,130828,49512.5,47917.3,32928.8,WT_1,1
11227.4,24389.7,8392.71,13059.7,8042.12,-2212.43,WT_1,1
10371,19634.7,6335.37,10749.8,4333.05,7424.25,WT_1,1
4574.02,21811.8,5491.76,15635.8,8219.31,10798.4,WT_1,1
4722.38,41276.1,3051.89,3944.81,1914.84,-1682.7,WT_1,1
657598,123321,49864.4,45238.8,32806.8,21118.6,WT_1,1
987659,170150,79303.9,35779.2,46471.7,17365.1,WT_1,1
897566,215036,96212.1,52249,34904.7,35866,WT_1,1
11432.2,20656.6,9493.02,8321.33,5340.43,-1324.69,WT_1,1
625902,72594.4,23912.5,4246.18,20741.1,55863.4,WT_1,1
12166.1,19364.6,5737.61,7992.69,6193.2,2307.54,WT_1,1
10285.6,18862.2,6361.3,11075.9,10531.8,11654.3,WT_1,1
14513,12837.4,3710.04,7404.95,6306.32,-387.931,WT_1,1
747263,114354,42673.6,44656.8,31172.7,14025.3,WT_1,1
618476,95616.8,32480.3,32212.1,8457.33,22791.7,WT_1,1
1182200,176398,89771.3,63360.5,19991.6,51444.9,WT_1,1
12801.3,17447.9,3463.41,12704.5,9566.14,10165.1,WT_1,1
13546.6,18776.6,14534,10947.6,3797.62,6658.92,WT_1,1
8978.06,30657.9,460.562,10688.6,7367.01,-1229.48,WT_1,1
16016.7,12513.3,2174.25,6427.42,3267.37,3532.24,WT_1,1
15159.1,15236.9,8240.55,3779.01,5157.57,6667.86,WT_1,1
10935.3,19226.8,9485.62,9165.67,8512.57,2029.73,WT_1,1
8082.54,19731.9,6305,6895.12,8551.18,-747.787,WT_1,1
10042.2,13445.3,12435.8,9664.91,8437.03,2089.41,WT_1,1
2548.64,28540.9,6676.1,8778.62,3512.89,3639.01,WT_1,1
1235350,210931,112744,51548.9,41946.1,56722.3,WT_1,1
18834.5,15653,7238.58,2981.37,6245.26,1667.12,WT_1,1
14371,17824.6,4852.34,18658.7,5866.53,7714.73,WT_1,1
15990.8,18259.9,8138.98,5692.12,8182.43,4142.84,WT_1,1
891540,196605,52395.3,40093.4,39540.2,15324.2,WT_1,1
717344,124354,43688.5,43282,44927.5,25376.9,WT_1,1
4863.56,25032.4,7476.32,5447.28,2986.4,1575.72,WT_1,1
18888.9,18463.2,12649.3,2428.41,1295.19,4775.8,WT_1,1
12344.9,22124.9,10672.3,6002.83,4976.73,2440.95,WT_1,1
15928.3,19720.9,4268.21,2904.54,4506.95,3380.4,WT_1,1
16204.8,12234.2,4654.69,5045.71,4123.33,43.8805,WT_1,1
12342.7,19031.3,6110.99,6643.45,11791.2,3009.13,WT_1,1
3119.49,27276.8,5222.07,10468.9,6690.99,-3717.69,WT_1,1
13682.2,23987.5,1857.89,14038.8,15777.6,-5264.24,WT_1,1
902559,227451,93600.6,60495.8,11347,32360.6,WT_1,1
18351.5,16889.8,7318.82,4593.13,5476.67,2507.07,WT_1,1
1292690,196468,84588.9,50814.1,22942.2,32984,WT_1,1
9463.31,21771.7,8080.04,14725.2,6862.61,6676.58,WT_1,1
795267,120751,46708.2,17858.8,33075,23957.4,WT_1,1
14384.5,21610.9,7098.9,8046.15,9754.71,663.788,WT_1,1
894685,176683,62509.2,48187.5,40066.8,30283.1,WT_1,1
16511.2,15350.2,7196.77,5222.47,6772.09,6785.86,WT_1,1
18136.1,9413.09,831.834,12281.2,15318.9,-3007.49,WT_1,1
16028,21630.4,7739.51,5031.15,4935.62,-1820.48,WT_1,1
10850.9,22636.4,2937.4,10797.4,8647.36,-1904.99,WT_1,1
15717.8,15791.5,4455.17,6542.78,4486.29,1767.44,WT_1,1
5565.77,28451.8,2781.18,8731.24,170.931,719.187,WT_1,1
7384.02,25683.4,3653.2,9422.77,2682.33,384.893,WT_1,1
856657,140114,59185.4,17691.5,11265.2,56193.7,WT_1,1
13876.6,19745.1,8937.25,4011.31,5261.03,1121.47,WT_1,1
11362.9,19457,6042.88,9614.6,6454.71,-113.482,WT_1,1
7792.39,22198.1,6425.55,13984.9,6197.86,667.172,WT_1,1
8323.97,27225.4,6705.16,10793.5,3541.9,734.01,WT_1,1
1106510,230378,93514,36560.3,33584.7,46887.3,WT_1,1
721498,119022,43400.5,18725.3,-7814.7,42616.5,WT_1,1
1500.27,30233.5,7045.61,4679.54,3346.72,-495.294,WT_1,1
5289.56,26548.7,6698.61,6668.56,4655.13,5983.31,WT_1,1
17828.7,14363.9,4675.9,8288.2,3247.85,-318.391,WT_1,1
1796.38,27799.8,1429.83,2115.89,1886.98,12.4679,WT_1,1
649404,124843,88390,42159,42698.1,10779.7,WT_1,1
1243290,233500,106919,56983.1,37839,22246.1,WT_1,1
344.121,42344.3,3673.87,3964.64,3492.73,-2366.26,WT_1,1
9114.14,23937.8,354.097,16235.5,9420.74,2934.76,WT_1,1
701022,129835,61938.5,33789.2,14969,19697.3,WT_1,1
9513.25,22426.3,5472.03,8693.69,12329.9,2472.64,WT_1,1
851705,167569,56691.5,42285.3,28761.1,8376.06,WT_1,1
601639,99138.2,43802,36818.2,41151.2,-2519.59,WT_1,1
11099.2,19427.7,2393.17,13810.1,3854.75,-38.8465,WT_1,1
9933.27,21159.2,5136.48,9948.56,6239.17,1651.51,WT_1,1
14236.2,13917.4,8002.77,6364.96,5528,2820.88,WT_1,1
9590.34,20830,6921,11811.3,5024.8,56.3442,WT_1,1
3654.15,25657.1,5535.76,8594.3,5676.93,213.232,WT_1,1
16321.7,24107.6,5534.86,5285.21,7508.05,-1906.14,WT_1,1
13500.7,15793,14903.4,7574.3,5509.96,3729.23,WT_1,1
12871.8,16988,13073.6,8330.38,6562.36,6468.74,WT_1,1
13063.6,21363.8,5718.54,16536.4,10525.7,1510.25,WT_1,1
716019,108986,42824.5,14260,5727.43,58376.4,WT_1,1
8865.96,16265.3,7531.21,10335,11275.7,-1896.7,WT_1,1
623651,76510.8,39674.1,31935.5,20801.7,3819.59,WT_1,1
16993.9,13824.7,6706.43,7369.37,8412.14,-875.804,WT_1,1
12153.5,17372.7,8366.53,8304.26,11333.5,259.235,WT_1,1
623979,62531,26564,17806.7,10474.6,8634.09,WT_1,1
15471,12030.9,3560.34,6514.99,5778.15,-187.41,WT_1,1
633472,70711.9,18425.5,26116.4,12023.3,1556.13,WT_1,1
622012,109477,38844,35867.2,26766.2,10886.8,WT_1,1
13832.1,15387.8,7285.41,6593.12,9503.76,-1316.06,WT_1,1
585032,87073,39177.6,14503.6,12757.5,9323.29,WT_1,1
13915.2,16077.7,9029.12,6093.98,8906.82,98.8911,WT_1,1
732616,83760.9,25546.3,28965.8,32385.2,5140.74,WT_1,1
2882.25,27480.1,1452.69,851.392,1623.89,353.032,WT_1,1
605668,67350.9,22727.9,13114.1,8104.95,19131.4,WT_1,1
14328.2,20052.6,9078.89,8375.47,5819.41,-133.107,WT_1,1
6060.56,23604.3,9185.38,16951.1,9560.2,4035.65,WT_1,1
601200,65575.4,21822.3,14928.7,5871.96,20993.4,WT_1,1
824854,172430,49307.8,46745,32455.5,18025.4,WT_1,1
8970.92,22178.7,7665.88,12341.1,6048.85,-84.3008,WT_1,1
5656.95,15939.1,14710.5,13494.5,3733.72,6127.93,WT_1,1
676088,91788.6,37452.7,20549.2,34658.9,5273.97,WT_1,1
861539,131597,62873.6,28560.4,19081.8,52121.2,WT_1,1
614040,137515,34046.3,27280.3,11720.7,19025.7,WT_1,1
4526.1,24395.6,1304.26,16141.4,4302.07,-19.8846,WT_1,1
591210,85862,51558.5,22062.5,25894.6,3971.6,WT_1,1
7249.73,22722.6,4309.93,11093,2616.04,104.049,WT_1,1
692937,100011,27553.8,15232.2,20171.9,21400.5,WT_1,1
772326,176864,28119.7,35138.9,16877.7,20434.8,WT_1,1
8842.55,15275.7,11297.8,11241,11861.4,6880.68,WT_1,1
4562.93,25396.2,6121.78,3424.46,3607.88,5981.09,WT_1,1
10874.2,18217.2,6316.66,10691.3,9620.33,4436.69,WT_1,1
9172.98,20862.5,9931.11,2411.64,4965.66,-2013.21,WT_1,1
13784.4,21447.3,7808.05,6134.74,7159.68,2371.56,WT_1,1
571907,78231.7,26064.9,14252.5,22291.1,2900.47,WT_1,1
893006,333184,116597,61226.1,45709.7,69531.9,WT_1,1
1853.12,37544.1,3067.41,5676.35,2360.24,-1550.85,WT_1,1
16004.2,23604.8,3031.12,6910.4,6944.95,-398.4,WT_1,1
953.378,36982.8,2392.23,-194.721,1240.82,-626.935,WT_1,1
804421,178540,101969,13821.6,9378.3,60444.4,WT_1,1
9884.2,24545.4,10024.2,13829.3,5929.37,9782.53,WT_1,1
12767.3,17845.3,6208.68,11556.8,10167.1,1119.33,WT_1,1
716696,108885,44612.5,36994.6,31197,72.9321,WT_1,1
1216240,275656,116329,74695.4,113228,187193,WT_1,1
10894.7,16223.8,7849.47,9648.84,12981.4,4778.36,WT_1,1
1104820,343646,140276,59682,13682.1,114997,WT_1,1
942358,165747,76399.9,45351.9,34053.2,10892.4,WT_1,1
14087.8,12008.3,4776.9,4871.31,8350.92,-787.833,WT_1,1
12361.8,17062.5,5916.44,3442.7,3931.96,4294.24,WT_1,1
11452.4,15746.8,6576.64,1317.48,6238.63,2461.67,WT_1,1
4205.47,25578,3180.39,5489.2,2072.57,-584.259,WT_1,1
626986,129118,43558.2,32264.7,23131.1,13752,WT_1,1
9315.17,20033.7,1968.88,9188.76,11271.6,-93.8325,WT_1,1
4724.93,19992.4,9187.19,10405.9,10191.9,8232.65,WT_1,1
12336.3,18561.1,4744.82,6638.97,16167.4,-2272.55,WT_1,1
2150.18,25570.9,9220.64,1956.64,3297.34,3059.8,WT_1,1
1282930,151979,78920.6,73462.9,53326,59707.4,WT_1,1
651052,70017.1,34806.5,40164.9,47173.3,142352,WT_1,1
14511,16299.4,5869.97,3715.83,6519.4,-1577.26,WT_1,1
12827,22146,8291.82,5256.79,6569.39,3861.89,WT_1,1
14588.4,22659.7,7689.68,5648.34,5621.58,90.035,WT_1,1
14066.2,24530.6,4227.02,5412.25,3561.7,-279.951,WT_1,1
600051,83311.9,41685.1,25451.6,29678.3,47208.4,WT_1,1
1258750,517043,202984,182030,255260,568933,WT_1,1
11168.2,18093.8,2316.11,9738.32,14409.1,-1054.89,WT_1,1
577890,73600.5,35305.9,21913.6,17207.7,11897.1,WT_1,1
15631.1,15358.5,3966.7,7825.43,7131.79,-1453.63,WT_1,1
1265210,177930,84218.5,36094.9,36376.3,12808,WT_1,1
13382.8,21180.5,10066.7,5689.65,1581.29,2174.95,WT_1,1
634453,69844.5,15440.3,17681.6,15475.9,4925,WT_1,1
18598.4,15487.8,10344.3,6540.26,9229.4,304.82,WT_1,1
10750.7,15484.2,10232.9,9261.47,7138.56,5968.98,WT_1,1
10437.2,21021.6,10985.7,7887,9013.26,1157.11,WT_1,1
846049,158277,80032,48418.6,10115.8,53278.9,WT_1,1
5442.79,26262.7,1623.85,9067.35,3971.62,-241.405,WT_1,1
624615,94763.8,32293.8,24376.1,10666.2,17376.7,WT_1,1
11371.3,18957.2,3678.26,9951.59,11688.5,1830.53,WT_1,1
5274.67,28142.8,7478.03,5387.39,3209.26,2513.35,WT_1,1
596911,107201,47801.8,32984.7,39386,12451.6,WT_1,1
15161.1,15817.1,4282.42,1556.07,3625.56,2363.83,WT_1,1
11963.7,13086.1,8757.83,13446.3,8483.41,4913.54,WT_1,1
12125.2,17969.5,5209.06,11290,14853.9,2483.4,WT_1,1
601902,95609.5,40445.4,34444.8,27424.7,26024.7,WT_1,1
665677,99516.9,32985.4,26061,17150.7,21159.2,WT_1,1
4769.7,25533,8478.24,2908.73,3393.09,1426.59,WT_1,1
