"ArAr80Di","BCKG190Di","Ba138Di","Bi209Di","Ce140Di","Ce142Di","Center","Cs133Di","Eu151Di","Eu153Di","Event_length","Gd156Di","Ho165Di","I127Di","Ir191Di","Ir193Di","Lu175Di","Lu176Di","Offset","Pb207Di","Pb208Di","Pt195Di","Pt196Di","Residual","Rh103Di","Xe131Di","Time"
77.9859,0,375.181,0,0.936478,2.19271,563.846,0,4.32348,628.447,14,0.327659,0,8.41174,226.74,425.131,0,0,82.884,6.31337,17.9089,0.715495,1.88229,63.423,0,1.77259,5.68521
105.908,0,1877.49,0,1.33112,0.197803,532.767,0,0,0.07248,15,0,0,12.8057,0,0,0,0,92.904,13.5013,33.8131,0,0,57.305,0,0.254639,5.7251
88.1772,0,1302.82,0,0.743847,1.90854,602.815,0,0,0,14,0,0,1.95932,0,0,0,0.642033,119.374,3.12568,9.33883,0,0,74.365,0,0,5.79054
132.784,0,1276.05,0,0.343293,0,822.516,0.370141,0,0,18,0,0,4.28388,0,0,0,0,103.428,3.19929,27.0118,0,0,117.614,0,1.69156,5.96731
125.21,0,301.172,0,0,0,445.936,0,3.63974,731.687,14,0,0,11.3618,265.768,533.454,0,0,85.511,2.01851,3.21906,10.6943,16.5652,77.48,0,0.72773,6.07115
109.365,0,2193.15,0,0.411506,0.354859,481.32,0,0,1.13954,12,0,0,0.049516,0,0,0,0,114.516,7.68047,56.7679,0,0,69.376,0,0,6.22768
60.832,0,1181.27,0,2.0525,0.759616,506.207,0,0.634047,1.9933,13,0,0,2.23667,0.276754,0,0,0,123.225,6.28488,26.0157,0,0,53.763,0,0,6.27528
101.679,0,1.81183,0.250057,4.75955,0,622.79,0,0,42.5386,13,2.09985,0.648782,8.35761,169.663,340.425,0,0,80.75,0.912107,20.5055,3.14654,1.30236,200.484,0,0,6.29491
124.021,0,1038.66,0,2.90314,0,450.121,0,0,0,13,0,0,3.97876,0,0.826855,0,0,98.682,11.2397,15.816,6.24067,12.0001,80.924,0,0,6.77765
105.242,0,420.605,0,0.626909,0,528.331,0,0,0.103548,13,0,0,1.06209,0,1.84763,0,0,71.697,3.38827,11.5409,3.10152,0,154.839,0,2.29921,6.82816
