FSC-A,FSC-Width,SSC-A,B525-FITC-A,R712-APCA700-A,V450-PB-A,Y585-PE-A,Y763-PC7-A,R660-APC-A,Time
739094,1419.29,493014,36606.1,-55.7062,49764.8,15062.3,5180.53,1996.75,1.39075
925094,1394.03,1.11E+06,340.664,1.14436,6280.67,35.2357,-36.0012,124.958,1.39854
877255,1935.64,507570,17434.6,5318.64,31599.9,7346.59,1389.14,2431.02,1.40478
768508,1462.95,570393,43689.4,203.921,53086.6,22556.7,16820.7,6333.65,1.42122
1.23E+06,1869.9,716754,60914.8,996.754,96931.9,29179.2,15678.1,19869.4,1.42536
1.07E+06,1848.46,645002,75384.1,4903.72,69885.8,33643.9,17978.9,5410.5,1.43273
1.31E+06,1935.68,1.05E+06,67960.2,-727.047,127351,58195,31435.3,10112,1.44368
774742,2069.9,617699,85110.2,910.892,99063.1,36856.2,9633.1,9257.39,1.44796
929084,1524.61,692474,74164,3916.13,75459.1,37428.6,54383.6,9909.58,1.45812
863171,1705.16,691204,54670.3,286.463,108736,37514.1,9992.58,9517.12,1.46077
1.02E+06,1555.05,558123,50406.1,858.181,81164,24304.3,6954.63,14380.4,1.46422
891650,1460.32,820037,24204.2,5046.02,29879,9464.31,4126.67,1484.2,1.46593
608413,1689.34,546113,51312.8,1740.53,43459.2,33993.8,13015.6,3772.52,1.46903
686788,1712.15,690598,52306,8669.53,106372,36317.6,55647.1,11944.5,1.47175
688814,1666.22,595911,41152.2,2530.11,39687,28236.7,29239.1,6558.13,1.47248
1.04E+06,1826.74,650746,46755.7,2087.93,58199.1,34538,35122.8,16038.4,1.47395
734602,1625.11,546794,62179.8,981.68,66334.5,33325,15158,9705.79,1.48984
1.12E+06,2176.83,863053,45054.7,27256.6,66171.6,42130,5267.25,7856.32,1.49618
1.17E+06,2277.57,708263,68613.5,-105.123,68566,32058.2,7288.13,15673.8,1.49653
659866,1610.07,453704,39654.3,124.214,41795.6,24333.9,10901.8,3639.09,1.49875
1.01E+06,1832.77,657448,45195.9,-222.404,75323,14204.5,1076.85,1523.64,1.51016
766980,1738.88,682586,44920,-100.54,67397.2,20216.3,20327,3470.98,1.51169
768225,1459.74,388910,31638.8,369.603,52675.9,17872.5,11044.1,6840.28,1.51248
1.25E+06,1699.46,935332,117337,968.428,115356,43815.6,96101.4,19806.8,1.51265
761158,2057.23,741435,111388,-311.842,99140.3,50792.4,9555.3,23250.2,1.52327
724143,1574.62,596832,66693.8,537.091,71025.7,22996,40301.5,2788.79,1.5246
1.17E+06,2019.16,1.10E+06,44634.1,20471.2,77200.1,30921.4,54315.6,17650.7,1.52784
1.02E+06,1711.91,641916,39638.1,44.7843,59082.7,21091.1,5113.78,13163.6,1.53853
667302,1594.54,388859,62263,656.229,46006.5,35233.3,6106.03,6089.3,1.54379
1.14E+06,1948.77,854743,36562.9,-469.118,42075.3,11868.7,6993.79,1961.67,1.55552
632521,1759.64,761274,19239.2,320.304,32969.9,10630,5085.17,1796.9,1.55846
987640,2374,793110,44376.7,35.6932,68696.5,31215,5621.31,10004.9,1.55889
896840,1785.7,480015,51256.5,516.126,82627.8,25189,14274.1,3784.25,1.5603
925126,1611.89,667082,64482.2,657.284,99121,47402.1,15182.1,14912.3,1.58891
1.16E+06,1815.26,660095,76413.6,1161.17,153649,49962.9,7730.61,20851,1.59336
1.17E+06,2293.14,428748,16814.1,-27.4875,36321.4,7132.21,3787.09,2439.42,1.60032
980020,2159.08,882703,105925,192.464,116593,29891.5,21010.1,2785.05,1.6007
540600,1604.04,367257,40855.5,259.667,46824.4,16464.5,7769.62,3022.51,1.60646
990520,1837.88,1.02E+06,71602.5,245.807,131191,64311.9,86351.9,5264.72,1.60719
822480,1516.81,523044,57907.9,-302.195,44035.1,14900.5,3495.42,1353.36,1.61033
1.40E+06,2174.9,1.13E+06,79900,4829.09,128761,52019.1,13424.3,12500.7,1.612
1.18E+06,1784.38,919776,76617.1,1905.25,93015.5,36193.6,22703.8,2203.53,1.61317
519541,1617.68,518892,63973.3,667.49,100713,28757.3,45247.5,8155.1,1.61466
1.01E+06,1970.71,884966,42069.3,246.459,96984.5,32495.3,26553,12149.7,1.61819
1.08E+06,2128.3,681349,82796.2,-538.383,101878,40302.1,28286,7695.1,1.61994
736923,1779.64,408175,32902.9,470.11,53669,19870.7,5938.04,3296.82,1.62614
959608,1520.83,823943,6646.97,9.91695,11127.1,1673.53,216.497,345.642,1.62677
1.03E+06,1571.09,562828,34073.4,1484.3,60886.4,17584.5,4594.34,1469.94,1.6291
1.19E+06,1914.11,828443,61624.9,1561.88,113137,47642.6,11066.8,16345.4,1.63512
621007,1928.26,335959,31401.3,1424.3,24344.7,16087,8389.85,6900.83,1.6448
793900,1433.23,422588,61200.9,1060.9,63949.5,28265.6,32307.7,7151.77,1.65066
875114,1935.59,550677,59360.5,964.574,51924.1,35554.6,12553.4,15324.5,1.65264
1.17E+06,2061.2,1.12E+06,86033.2,-328.799,213508,142347,98402.4,14206.8,1.65763
1.45E+06,2448.71,1.16E+06,93256.5,17.1895,115673,47705,13790.5,10135.2,1.65908
959091,1577.09,900890,65216.4,3489.56,118395,38616.1,39583.9,19058.6,1.66131
1.30E+06,1661.49,753242,47860.4,47.0644,47277.9,11434.6,673.738,1534.78,1.6621
629392,1507.19,500071,29401.3,1139.98,38389.7,17885.6,14994,2890.49,1.66796
1.03E+06,1779.88,881541,66858.3,-312.775,77879.3,29350.7,18182.1,2787.74,1.67179
923286,1445.05,733632,47861.5,2533.43,38801.7,14593.8,4369.53,8664.51,1.67281
1.17E+06,1817.98,1.03E+06,99458.9,1091.49,134597,54864.4,42970.4,24472.4,1.6764
699937,1676.06,451011,29586.4,670.25,21296.8,8130.94,16304.1,974.532,1.6773
901196,1507.59,696318,60655.4,623.384,95439.2,37169.1,46533.3,4230.57,1.68058
1.73E+06,1984.46,1.12E+06,93616.1,319.68,183294,45702,109405,8776.34,1.6837
1.01E+06,1602.48,965632,44071.4,26.7318,69704.5,21209.4,12067.4,3930.53,1.68523
1.40E+06,1938.91,910503,96065.1,2651.26,119966,49844.8,12533.2,14130.1,1.68707
832201,1428.23,861767,60124.7,-1189.46,49104.6,11616.7,1973.63,3102.28,1.6886
623312,1826.85,614460,61282.3,374.589,96722.8,23237.4,12681.8,3712.2,1.69458
1.28E+06,1905.72,829023,80160,-775.742,94279.4,31679,25756.5,11459.6,1.7017
1.28E+06,1841.78,848553,106360,-696.211,82450.5,25412.3,32627.3,4068.04,1.70176
950655,1584.53,606085,71167.8,220.011,72155.8,23235.5,3405.41,10847.1,1.70484
