FSC-A,FSC-Width,SSC-A,B525-FITC-A,R712-APCA700-A,V450-PB-A,Y585-PE-A,Y763-PC7-A,R660-APC-A,Time,,B525-FITC-A,R712-APCA700-A,V450-PB-A,Y585-PE-A,Y763-PC7-A,R660-APC-A
1.59E+06,2239.78,1.04E+06,1482.79,-2315.54,28975.6,582.889,-954.976,1783.02,8.22992,,,,,,,
1.06E+06,1886.54,704333,409.664,61.0853,9432.96,-26.1843,219.511,150.301,8.23284,,,,,,,
752561,1515.68,345147,147.116,-231.654,3697.06,-267.727,51.6464,289.948,8.2366,,,,,,,
1.23E+06,1898.73,916179,790.557,-829.161,12961,121.516,-121.608,581.707,8.2371,,,,,,,
906608,1902.48,556205,466.928,-774.709,9059.23,201.483,-255.289,319.769,8.23835,,,,,,,
913850,1950.33,673080,575.435,-430.464,7250.9,10.027,-109.866,264.566,8.24215,,,,,,,
1.48E+06,1885.38,857361,966.721,-943.326,12075.7,245.404,-455.425,461.758,8.24357,,,,,,,
555252,1651.42,438277,252.495,-376.712,6403.93,146.269,-591.078,200.123,8.24577,,,,,,,
570668,1699.52,460669,241.604,-288.077,7369.01,-154.804,287.123,379.249,8.24621,,,,,,,
595940,1487.03,398978,171.737,-536.699,4469.55,162.21,-10.7562,173.294,8.24635,,,,,,,
829896,1751.85,457471,193.53,-353.296,6194.9,110.771,-617.424,396.37,8.24895,,,,,,,
1.15E+06,2303.76,868402,281.172,-585.901,11941.9,628.557,-238.445,364.11,8.25105,,,,,,,
852772,1475.68,669775,198.339,-529.173,8431.48,191.842,-302.413,310.35,8.25107,,,,,,,
1.33E+06,1929.79,794369,611.746,-957.29,13282.5,529.572,-278.634,633.473,8.25299,,,,,,,
1.19E+06,2056.18,675058,462.238,-739.034,11343.5,451.959,-312.249,470.47,8.25819,,,,,,,
691113,1862.13,522069,345.51,-785.299,7609.73,242.472,-208.461,600.842,8.25931,,,,,,,
788534,1812.46,533389,103.31,-567.538,9146.8,69.2501,-499.531,401.71,8.26127,,,,,,,
1.12E+06,1807.67,750674,651.751,-925.786,12076.2,312.86,-498.145,587.868,8.26487,,,,,,,
986402,1895.81,725344,301.383,-239.562,9036.53,-161.643,-331.042,635.663,8.26553,,,,,,,
1.12E+06,1971.94,895434,623.279,-458.003,10804.5,382.573,-74.176,362.464,8.26697,,,,,,,
1.18E+06,2168.94,597799,1011.27,-1643.6,15777.2,510.688,-1299.71,1378.05,8.26887,,,,,,,
1.30E+06,1934.12,1.36E+06,733.493,-1358.82,22106.3,578.816,-413.891,765.158,8.27003,,,,,,,
916388,1729.08,463773,602.865,-952.767,7892.96,322.983,-326.691,352.237,8.27045,,,,,,,
1.24E+06,2243.38,1.11E+06,910.427,-1197.04,18194,359.103,-959.846,607.428,8.27303,,,,,,,
815387,1342.13,1.00E+06,683.293,-861.44,148051,194.939,-904.72,330.071,8.27521,,,,,,,
820280,1768.59,884814,176.228,-153.926,45549.5,257.356,-396.953,278.147,8.27815,,,,,,,
868544,2410.63,710524,487.281,-247.513,6547.18,-281.408,-666.986,-64.8757,8.28175,,,,,,,
904027,2036.17,617930,530.288,-331.498,9495.71,212.889,196.056,128.528,8.28507,,,,,,,
555848,1686.7,431990,68.3846,-582.328,4303.05,262.198,-330.407,274.718,8.28629,,,,,,,
909298,2332.42,634478,594.376,-930.655,11094.5,222.315,-190.244,539.604,8.28643,,,,,,,
1.34E+06,2026.64,1.00E+06,673.475,-865.259,12959.7,559.673,-76.4614,410.17,8.28689,,,,,,,
1.01E+06,2150.03,832362,522.486,-682.914,10132.5,415.403,-474.225,444.885,8.29243,,,,,,,
643387,1952.01,502667,322.574,-596.047,6158.93,297.4,-391.488,228.814,8.30079,,,,,,,
651191,1752.5,386948,358.287,-382.559,5372.27,30.1833,-161.292,115.861,8.30243,,,,,,,
1.40E+06,1964.42,860287,758.569,-964.6,34500.8,31.3736,-206.058,692.978,8.30461,,,,,,,
630168,1461.66,444113,353.464,-169.811,5082.2,-68.5227,-119.258,-9.67456,8.30981,,,,,,,
866365,1776.27,389754,325.583,-143.221,4686.92,-50.4472,-209.454,328.599,8.31435,,,,,,,
776760,1790.87,590243,409.176,-243.167,7241.21,168.073,-231.878,-81.9826,8.31439,,,,,,,
804574,1578.01,599536,561.387,-673.463,8309.12,496.188,-224.232,434.698,8.31627,,,,,,,
1.55E+06,2189.08,1.04E+06,957.66,-1384.54,17581.1,331.246,-695.65,701.327,8.32039,,,,,,,
1.28E+06,1851.93,1.20E+06,730.939,-756.681,14603.3,384.195,-115.412,447.219,8.33382,,,,,,,
1.03E+06,1813.16,397687,249.328,-199.458,6541.59,-32.9412,-279.547,416.977,8.33482,,,,,,,
725784,2188.05,568460,59.6401,-568.773,8512.07,465.643,-627.378,318.56,8.3381,,,,,,,
699088,1573.66,465058,214.214,-298.35,5446.31,79.1114,-143.293,378.081,8.34832,,,,,,,
872345,1970.08,631115,466.956,-538.046,8010.14,368.48,-346.949,521.301,8.34842,,,,,,,
1.22E+06,2237.6,696928,536.836,-718.364,8384.53,234.752,-301.345,107.435,8.35064,,,,,,,
1.06E+06,1815.21,556862,560.773,-750.974,7559.66,230.488,-329.148,623.18,8.35124,,,,,,,
726111,1670.63,599013,358.162,-199.129,7368.11,530.16,228.655,285.201,8.35524,,,,,,,
993302,1839.1,617104,585.689,-250.32,9541.79,54.7997,-72.8521,142.124,8.35974,,,,,,,
935703,1643.68,601566,354.317,-93.5963,12141.5,148.85,67.384,278.038,8.36172,,,,,,,
1.03E+06,1943.99,610078,258.459,-70.3421,9111.02,-101.544,156.294,-18.5215,8.367,,,,,,,
815145,1678.09,485847,430.179,-634.947,7643.49,96.4996,-137.274,372.759,8.36952,,,,,,,
1.14E+06,2318.4,653870,515.697,-577.809,37070.9,60.7677,-331.2,-69.7295,8.37116,,,,,,,
957249,1842.47,590245,426.293,-281.375,8662.76,22.4941,-42.6173,397.943,8.38222,,,,,,,
869691,1711.33,517228,542.677,-858.621,6714.7,276.945,-152.177,468.424,8.3837,,,,,,,
642387,1913.69,430232,106.326,-276.018,5724.19,277.388,63.8523,191.615,8.38402,,,,,,,
1.20E+06,2515.83,1.30E+06,384.504,-196.168,83614.1,140.289,-575.354,273.537,8.38688,,,,,,,
775717,1733.44,586757,316.958,-783.122,7488.37,-114.775,-490.772,453.81,8.3889,,,,,,,
913765,1418.72,440718,643.171,-722.281,116056,147.266,-395.929,90.3559,8.3915,,,,,,,
956515,2505.19,668832,317.353,-386.207,7294.69,-65.8366,-285.398,261.622,8.39384,,,,,,,
837417,1774.54,533493,580.311,-524.229,9508.83,261.277,208.265,165.9,8.39702,,,,,,,
1.19E+06,2103.05,718113,345.538,-126.135,6967.66,26.0585,87.7835,283.105,8.4013,,,,,,,
899088,1849.71,617691,219.273,-352.099,9250.11,437.496,-380.006,259.488,8.40472,,,,,,,
724821,2175.31,427578,354.084,-51.3044,5600.63,-6.29021,-120.016,-95.419,8.40492,,,,,,,
922012,1760.77,654892,265.948,-310.511,7711.94,246.008,-168.475,136.671,8.40574,,,,,,,
1.12E+06,1817.15,757323,874.634,-1276.16,11688.2,469.905,-992.463,781.196,8.41038,,,,,,,
772011,1583.74,434388,281.954,-131.91,5342.69,291.3,-240.412,310.977,8.4121,,,,,,,
753476,2048.23,592248,373.332,-503.039,7029.94,374.049,-36.522,233.521,8.41342,,,,,,,
1.13E+06,1634.86,752851,426.49,-745.962,10183.7,244.956,-371.387,362.59,8.42416,,,,,,,
1.12E+06,1764.15,477665,119.996,-611.493,9360.91,83.9668,-544.366,439.905,8.42653,,,,,,,
1.11E+06,2124.12,650716,524.309,-801.252,9270.92,363.708,-445.617,776.733,8.42679,,,,,,,
1.50E+06,1896.04,1.03E+06,710.506,-1154.57,13928.8,218.883,-163.115,774.289,8.43519,,,,,,,
