"FSC-A","FSC-Width","SSC-A","B525-FITC-A","R712-APCA700-A","V450-PB-A","B690-PC5.5-A","Y585-PE-A","Y610-mCHERRY-A","Y763-PC7-A","R660-APC-A","Time"
110700,1053.42,24254.2,-32.1762,177.235,1389.7,43.6166,254.071,45.9583,-251.627,-10.5295,0.455946
59911.5,790.829,41566.7,13.6403,-212.95,4111.08,265.443,-93.0902,-37.8243,-137.632,130.6,0.468691
87570.8,960.988,30975.5,46.4201,-108.792,1728.92,75.9518,349.039,61.7139,-145.99,26.5744,0.469352
191202,1123.63,76574,32.6663,59.0167,9284.33,56.4631,103.349,-16.0794,54.2852,-21.0878,0.469432
96185.3,958.774,42494.1,102.163,-260.989,4293.71,255.179,-162.164,-53.381,-155.456,137.961,0.473033
2.10328e+06,1547.86,1.09113e+07,485.311,249.635,38517.2,-185.813,780.427,38.1676,912.659,1168.87,0.473413
81336.3,940.47,132975,26.6465,-53.6353,4903.45,102.786,-219.225,-46.2748,286.428,-25.0274,0.477355
155454,1064.87,125700,95.3591,-116.494,8767.13,294.132,-142.067,-45.9152,-186.154,72.8799,0.477896
146283,1099.22,50496.2,-6.40953,86.8856,10007.3,166.745,83.3639,40.2918,-326.828,-40.4747,0.480817
308014,1153.61,184934,104.31,29.7336,24438.5,97.4804,205.097,37.309,-287.599,21.3445,0.482998
85072.4,955.697,78840.1,15.2083,-29.5254,2538.32,160.226,-420.694,-81.9789,-62.3719,28.1214,0.486159
69159.7,843.489,74974.1,-11.4454,-14.0801,3089.44,46.9747,-78.0109,-9.52714,160.729,20.267,0.486419
104306,994.13,41541.9,89.5779,-329.165,6621.66,431.38,-358.092,-89.1967,-150.727,128.638,0.486639
65182.9,849.969,38509.4,-121.362,43.1274,819.702,-64.364,108.903,-1.29629,-19.5865,46.3804,0.489281
1.62512e+06,3551.94,1.18829e+06,302.802,592.837,5775.64,-93.5691,1628.07,182.045,89.6581,50328,0.493763
122654,997.187,228089,-9.56296,162.407,5791.05,-53.4384,333.032,37.4258,-115.82,-137.767,0.495143
221388,1135.46,90672.1,-2.96784,-182.727,10696.6,259.854,160.475,-2.69387,76.4233,-33.7878,0.496884
112784,1051.06,24032.6,120.399,88.0724,4697.49,152.229,-210.342,-32.6863,106.647,146.637,0.502607
96208,962.832,11242.9,-7.39553,-122.056,4996.05,196.334,-371.671,-121.549,41.5362,45.0262,0.503067
250233,1134.4,209195,89.0169,289.016,7942.02,-546.282,346.511,73.6123,250.637,14.2877,0.503247
100870,1033.81,101635,-11.1741,124.356,3924.01,17.7218,288.237,38.6217,147.612,-107.512,0.503747
110820,991.604,53143.3,-125.836,13.1125,4347.91,-174.604,275.354,75.9115,-34.3386,88.7196,0.505788
75651.2,910.509,44987.9,-89.7542,175.359,4513.81,-243.553,-216.041,-32.8913,391.006,56.1895,0.50963
260920,1156.99,380392,132.178,-216.981,3947.5,250.573,198.625,71.3296,-214.411,-45.9888,0.512391
2.05628e+06,2031.58,1.0077e+07,593.885,494.116,61798.3,697.497,542.616,21.388,477.381,663.04,0.516933
79644.1,981.744,35146,48.0319,252.322,-90.3423,36.0924,408.513,85.8611,-161.041,-90.6369,0.518334
126579,1035.67,115320,71.7638,-289.645,7819.53,418.993,-144.728,-45.6695,-250.765,62.3849,0.519634
162560,1103.97,55654.9,56.9976,-123.225,5808.6,327.401,-404.381,-93.7873,-215.474,90.7544,0.519914
1.49107e+06,1884.97,549025,369.669,4190.3,13088.1,917.65,1000.59,159.169,-499.351,166.07,0.520575
118895,1076.51,176829,151.153,121.786,995.934,-194.979,37.2524,-25.8117,220.329,155.046,0.520835
189850,1121.04,150193,-7.71206,14.1046,8159.17,-182.987,588.012,146.833,-164.09,121.999,0.521035
171934,1085.61,29954.1,158.681,141.698,6958.46,-219.861,-34.8606,18.4357,69.8462,170.89,0.521575
600576,1302.06,1.91904e+06,373.479,-170.871,73605.8,662.456,-180.427,-80.5978,-245.03,295.006,0.522556
95788.9,1002.36,25436.3,16.3916,79.5487,3281.74,-164.494,156.502,49.1148,129.036,48.1946,0.527818
211870,1330.74,252032,102.382,-405.167,4753.64,540.216,-253.719,-72.6293,-204.24,60.9583,0.527838
394826,1630.35,160882,191.554,100.37,7349.56,114.237,162.404,-10.9774,201.246,583.347,0.53148
99437.9,1016.36,46388.2,48.362,76.4452,1906.74,-99.6916,-138.114,14.4854,-34.2268,-22.6781,0.537943
90648.3,941.797,80784.4,194.282,42.5097,4341.64,-132.969,86.4772,31.2219,43.8368,130.642,0.543045
73114.9,898.23,38378.2,148.742,-43.6748,3349.94,170.308,-146.571,-45.9618,104.846,132.85,0.543565
376707,1199.85,361279,217.136,43.8168,27762.9,363.557,199.7,30.5044,-228.535,-197.999,0.543705
207261,1134.75,230290,-42.9997,-205.774,6328.12,387.81,-246.019,-18.3967,-252.017,100.898,0.548808
84136.8,970.13,22602,-101.289,189.814,-1545.03,-279.733,623.603,159.578,30.5903,-225.868,0.549508
129041,1101.88,39660,-34.0326,-57.6379,6232.36,24.4867,-9.14156,5.07941,-6.31919,94.6193,0.550088
74369.3,921.775,47225.6,-56.8669,155.282,3083.82,96.5912,-108.944,-51.3438,-94.5483,-67.1839,0.550568
174261,1111.77,106504,20.6235,83.5384,4693.75,-212.165,381.58,71.4063,126.772,-21.3153,0.551449
202682,1113.78,90668.1,215.122,61.5384,9517.92,183.809,-145.456,-76.6408,-44.0462,-146.068,0.552069
84644.1,947.811,36706.4,63.8231,-176.473,1401.6,385.857,-382.798,-81.8757,-149.111,-71.7707,0.565635
330396,1149.67,56663.2,120.158,-143.553,21420.6,400.128,-106.308,-33.0211,-60.7652,73.9322,0.568857
198651,1094.35,66481.2,190.407,-151.699,10613.7,292.309,-78.7896,-34.7959,-3.40856,-88.4421,0.571178
