FSC-A,FSC-Width,SSC-A,B525-FITC-A,R712-APCA700-A,V450-PB-A,Y585-PE-A,Y763-PC7-A,R660-APC-A,Time
1.48E+06,2523.17,1.33E+06,76535.8,-28.8228,228512,53775.8,50192.2,5953.24,7.94192
1.17E+06,2279.15,902638,46299.6,-303.181,88134.5,43358.4,6105.05,9587.5,7.94208
855394,2009.81,626939,55933.6,1104.88,66275.9,47283.7,10028.3,5507.2,7.9437
693118,1517.16,692896,28998.2,-575.727,26681.9,20606.9,6013.03,3594.16,7.94672
1.30E+06,2128.27,1.27E+06,59385.4,-384.403,58618.5,35652.1,16952.1,4232.84,7.96784
932394,2072.81,639200,44802.7,264.297,76883.2,34375.2,5951.67,5333.48,7.97432
662359,1509,482443,32226.9,-252.336,50799.3,23494,9196.95,5235.67,7.99448
686203,1684.16,577150,40861.8,2292.85,22549.7,8991.3,2963.47,734.133,7.99752
631112,1462.57,573028,35304.7,-31.4194,39652.6,22395.6,14711.9,3294.49,8.00348
1.15E+06,1996.3,753344,33956.3,819.228,80899.1,27390.5,6790.14,8317.46,8.02411
816418,1601.68,739121,33607.3,3099.88,76614.1,33975.5,7946.1,9784.67,8.02485
1.05E+06,1536.46,758870,62906.3,614.48,79690.4,28822.9,59819.2,12493.4,8.03011
827841,1586.42,605510,40275.4,1787.4,22301.8,6902.57,789.32,2292.42,8.04375
1.34E+06,1969.17,1.01E+06,32982,-265.681,64082.5,24747,2317.35,2236.2,8.04715
952720,1479.79,614899,15472.9,185.041,32417.1,9592.08,4397.31,1868.4,8.05049
881541,1640.72,540316,50071.1,395.109,80764.1,33818,5290.57,10365.2,8.05795
821654,2205.32,719414,30242.9,209.922,134644,63645.1,29009.2,6169.03,8.05847
855671,1577.36,675659,41832.4,604.035,90092.7,28009.9,9162.56,6360.29,8.07921
792197,1669.46,921693,43166.9,10902.4,26985,9019.44,3629.9,1498.3,8.08107
763355,1646.21,668087,42219.2,-133.643,65008.3,27090.2,6253.62,3809.05,8.08937
764562,1954.78,499975,32721,716.526,63054,20164.2,13224.1,4558.34,8.08989
783851,1568.17,578726,40636.9,1114.27,63215.2,22124,7109.64,6667.47,8.09767
1.09E+06,1822.09,787266,60836,1086.49,99670.8,34033.1,12510.1,10906.1,8.09949
955594,2616.61,740782,43404.2,1239.12,59272.6,53390.1,18993.1,2659.51,8.10978
630188,1519.98,584681,17020,5984.62,21765,11385.7,3753.98,1470.28,8.11252
1.09E+06,2407.62,453652,5404.56,-453.583,26108.5,4983.99,567.136,550.104,8.1189
685148,1474.15,497844,37304.5,347.113,61774.3,39574.9,2486.24,7487.27,8.12574
894927,2142.37,620657,30492,1024.1,53608.1,23457.4,9415.42,10555.1,8.13072
1.50E+06,2334.53,1.19E+06,50310.2,-954.722,115686,47971.1,10243.8,6168,8.14686
1.43E+06,1809.43,1.03E+06,50474.6,-709.051,105478,43607.5,7551.87,9252.95,8.14946
677400,1460.9,576091,62650.9,21173.9,22944.3,16529.8,5281.73,4821.25,8.15164
1.37E+06,2088.65,1.13E+06,56566.8,990.583,68990.3,30647.3,7472.23,2478.65,8.1674
562845,1623.16,390377,21375.1,78.4472,47423.9,16884.4,11435.9,3714.67,8.18588
551193,1565.51,467379,23613.2,1300.3,23689.8,17657.3,1962.93,1679.85,8.19493
958728,1685.74,762497,37396.9,-198.692,57625.7,30250.1,6055.17,5766.4,8.20301
780795,1637.66,661463,21534.9,64.7016,23146.5,3812.49,-80.5119,393.423,8.21739
721593,1722.66,657169,31499.6,5396.87,25046.8,26770.6,5113.95,1320.47,8.37797
