FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF-A,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
562833,342821,334779,2385440,1546740,222932,5617.16,451.979,-222.523,562.039,-453.427,11075,-288.262
922269,456177,333374,2215540,1352200,208502,5816.21,102.567,-13.3259,-117.861,-146.284,5806.29,-441.549
1083920,532409,584767,4194300,2422880,318792,11461.7,603.524,98.9677,279.602,-495.592,7013.95,228.847
441147,341574,262833,1438230,1170470,213624,10739.2,-64.4438,-298.365,217.906,-176.169,-134.173,539.092
841554,504436,448900,2577080,1451890,253688,8168.92,-66.7666,-102.085,223.488,-88.0796,8316.02,156.493
773045,355071,391962,2574600,1491960,233373,7869.58,-239.909,-79.6035,297.015,332.983,5618.28,-374.468
905774,400924,385245,2916810,1298240,176923,10030.1,943.937,-232.771,371.992,-293.446,12617.1,49.646
510627,361917,122761,904343,704191,98453,4037.47,37.5546,-69.0845,600.243,-395.44,3009.92,194.714
645941,310285,292049,2706890,1283390,155836,5571.92,563.705,91.4839,638.259,-289.857,9015.43,-170.756
917544,473517,515610,3994130,2022310,260463,10516,10.0094,-108.607,719.674,394.049,9179.68,116.455
419282,253131,321874,1832990,1286580,224524,3210.5,-350.794,442.956,-118.557,-393.924,28384.5,307.367
1313540,704390,334736,2136410,1126820,181724,4652.16,-72.6703,36.3855,-20.294,-471.475,33507.3,-476.274
922413,552083,361894,2133680,1414500,244602,7909.01,-504.613,-368.106,692.623,33.0641,9439.81,815.586
737618,421634,320900,2096550,1412260,225576,5440.68,2.58463,-184.622,351.113,-318.999,8143.93,-202.191
519951,286931,368743,2659030,1859130,256910,5564.26,361.816,-165.474,476.159,-308.577,12050.7,158.091
696333,396132,390578,2382270,1508770,251090,9408.9,127.222,179.577,3.45267,-50.1785,2142.73,-755.25
1271890,593969,666707,3840260,1745540,304989,10204.8,-448.767,-268.623,554.405,-652.707,23877,-267.596
843046,415724,401159,2345560,1295640,223710,8405.44,53.7341,169.458,181.827,-301.132,3303.62,-73.9927
578559,367492,165424,1208160,757306,105274,3791.12,-112.634,-31.9869,265.991,-84.1076,7696.61,-227.372
1561530,806690,690016,4194300,3753530,410815,19005.7,1289.04,320.391,-33.0922,250.944,28443.3,-1410.81
937444,373849,423358,3520420,1219880,156306,9066.25,34.584,-531.171,910.419,472.84,8252.07,-53.5798
982234,510551,324555,2154670,1234580,183771,4937.33,325.906,207.179,-243.861,-94.2824,11439,-264.09
518458,316241,187532,1114010,701991,120556,3319.04,118.745,-342.58,748.714,-46.6452,4311.86,167.555
943274,525805,642327,4066260,2219840,358048,12818.2,-89.6879,-159.392,135.635,-257.244,5565.07,359.071
960689,507505,454752,3076860,1910930,303759,10631.2,21.8456,-334.305,454.465,861.819,9637.92,123.548
805429,405156,359298,2363000,1485160,230207,7951.1,357.261,-359.077,692.768,-357.434,5059.05,56.7655
1101050,625290,521668,3352620,1953290,311742,14310,395.185,-450.503,675.895,168.333,10941.6,321.132
804663,521487,257084,2148340,1529850,182962,7679.83,476.395,132.994,48.2908,-169.518,2026.63,-342.032
909170,521299,482187,3050230,1587930,252587,10203.5,115.17,58.5694,149.338,62.0603,7655.62,159.282
689887,467597,178507,1074610,748231,122869,3812.3,219.653,85.7667,-1.50242,124.576,2550.57,409.123
685857,389812,368640,2492480,1461890,221384,7734.39,131.022,-135.333,123.226,-5.81703,7621.59,-32.7735
788923,503020,299423,1726770,1139940,201227,7064.36,311.605,-170.414,355.888,-102.706,6196.53,560.008
1072960,686617,349068,2444630,1707850,254120,9115.6,120.629,31.3183,7.87268,523.056,7597.96,-176.082
474211,297861,184610,1483190,951541,120349,4238.58,-259.771,94.4565,176.912,470.313,6213.49,-532.479
645978,372700,267588,2079420,1107990,151051,5125.62,-1287.65,-418.774,-133.478,-190.502,12155.6,-1452.67
