FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF-A,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
643609,287341,232471,1676090,752389,103082,4030.77,-485.839,187.38,-173.76,88616.2,-475.183,78.5491
399707,280019,133376,697679,556521,106012,4274.76,-130.962,-78.707,-61.6117,31407.4,60.7679,-87.7908
713091,387767,356924,1957110,1206290,213160,9539.56,-413.562,-101.554,240.534,96941.5,-339.119,457.867
947880,352489,411045,2657550,1173060,182987,10701,-367.647,432.621,-319.216,103442,371.399,-1051.81
999089,467938,669225,4194300,1995090,293115,13402.7,-420.543,349.699,3.73477,119022,-418.524,-345.087
602613,372226,320730,2307750,1314850,185699,9175.26,-180.362,180.988,-248.881,1471.62,110.201,268.655
718803,400455,504018,3821460,1885830,256959,9520.39,221.655,277.36,-220.512,102978,-619.625,-288.538
735758,270141,259464,1869860,922991,131328,6361.44,217.053,-119.903,394.509,169347,-839.232,683.277
439645,255698,447620,2915520,2191080,330150,9076.04,429.911,-3.90475,136.018,1627.4,-234.614,-320.638
1186820,462516,492963,2908630,1182510,200060,9278.24,-453.658,-223.06,-469.047,55276.3,137.642,523.908
926003,426568,354297,2312600,1248690,191831,6819.81,437.372,-286.15,385.425,40859.1,-642.262,410.976
909687,312352,239042,1710410,569052,79833,5717.84,121.502,130.053,-76.6642,34695.3,-154.475,210.002
484874,233996,285732,1978820,1002890,146925,6534.1,5.42415,212.306,47.4784,14602.1,-45.7825,157.242
937226,464218,592149,4194300,2085600,292914,14640.4,415.539,479.607,51.6756,163010,-982.028,-638.415
1028950,517203,458460,2936300,1373590,221881,4689.15,-758.799,-63.0373,527.998,486278,-2049.64,873.987
676692,287709,310842,1868250,849326,143295,6710.59,-923.663,-476.637,28.0609,91951.4,683.997,-458.211
644945,323372,278777,1595940,934722,163769,4450.18,120.089,-122.603,48.1743,70177.1,170.643,-60.6135
366677,219490,200238,1176070,773088,130791,4323.05,-149.414,-177.026,497.438,48847.4,-180.115,3.69762
