"FSC-A","FSC-Width","SSC-A","R712-APCA700-A","V450-PB-A","B690-PC5.5-A","Y585-PE-A","Y610-mCHERRY-A","Y763-PC7-A","R660-APC-A","Time"
655481,2249.07,98704.9,53301.3,5290.3,2998.26,10017.1,19958.8,-1503,2033.55,5.20393
425232,1650.39,78996.3,4062.01,6491.27,1015.67,15600.6,8605.79,1866.64,6687.15,5.21372
488446,1673.56,286752,-19699.6,12254.7,18263.4,10912.9,15727.5,-7095.93,14902.5,5.23119
2.57787e+06,5925.29,2.41827e+06,-38447.9,172542,113230,125335,435016,8294.3,145617,5.23129
403039,1541.07,153204,44995.4,13889.9,17260.2,14120.3,61275.1,8900.95,16759.1,5.23151
4.75035e+06,8271.59,1.92428e+07,29490.4,123937,-14178.8,31240.1,-43622.4,76901.1,170788,5.2386
671775,2451.1,286833,29666.3,11173.7,27455.4,30052.3,75579.3,13726.4,41949.1,5.23928
1.34159e+06,3883.05,611495,11038.6,53076.8,17015,54920,115525,-766.51,32034.7,5.2419
433748,1632.12,106582,4666.14,14301.6,9594.68,9999.1,38685,-2533.21,7410.9,5.26035
337392,1343.35,105342,7759.68,4210.3,14554.7,10628.2,8759.41,-87.444,10432.6,5.26254
771820,2349.58,268376,10986.9,20614.9,24208.2,15261.6,40946.8,1832.1,20809.8,5.2748
573434,1761.49,231126,17105.7,19836.6,9371.38,17143.9,48436.1,7632.73,17456.4,5.28326
1.14525e+06,3120.91,355209,92830.6,26711.2,24866.4,48040.2,77777.9,12077,41187.5,5.28994
847711,2930.16,374009,1.31721e+06,26861,30543,24972.9,88755.7,5802.39,21274.1,5.29725
336688,1379.91,148714,204260,17233.4,22218,14375.5,42330.2,17077,21549.7,5.30202
392336,1399.68,128767,1569.49,6717.62,4705.06,6949.76,9681.62,54.2641,2852.15,5.30318
1.05198e+06,3478.71,348438,79416.7,18060.4,15331.7,21740.6,58438,-5523.96,18317.6,5.30391
316142,1236.17,151555,-2484.12,3003.85,3881.8,6841.13,1644.44,-836.126,3274.53,5.33153
500680,1713.19,121737,70606.7,9769.52,19419.6,11384.1,57468.3,32996.6,21414.8,5.3339
337896,1387.53,96548.3,111984,10472.2,5335.97,11231.3,14908.4,11887.3,12471,5.34464
1.70639e+06,4390.32,745186,397469,41802.2,24906.8,39036.1,123308,10103.8,46061.6,5.34477
489605,1642.93,182317,3416.69,4909.07,8629.25,7341.09,8415.9,71.7132,9913.83,5.36041
514344,1688.4,255322,3821.15,12960.4,6779.36,16307.7,31660.3,6489.29,15807.8,5.36458
300375,1219.83,114148,698.675,8704.44,6125.57,6176.92,10121.6,-1504.19,5226.74,5.39498
434640,1666.48,119034,16101.3,9321.93,1782.93,6552.63,9303.46,655.291,3918.91,5.39635
597295,1904.44,189389,8141.93,8480.81,7379.18,36325.2,19456.4,6083.64,20101.8,5.39736
512915,1635.84,151909,105180,6216.03,18896.3,9421.01,23002.4,-1714.1,18604.3,5.39848
493066,1668.09,142768,11005,7508.46,14376.5,8843.65,12980.7,-415.093,12831.9,5.4005
589992,2107.41,141023,687.227,19777.7,3398.5,14218.1,66220.4,-2490.11,4120.92,5.41204
1.2908e+06,3200.5,406726,37805.5,14744,10004.3,35963.3,53279.1,-1707.4,8144.5,5.41649
377311,1290.95,113740,998.303,10344,3933.55,7668.98,23707.5,5431.22,3727.85,5.4244
415748,1567.94,97502.9,-12443.2,9167.81,16010.6,10071.6,18864.6,-5160.22,10401.1,5.43837
662948,1953.84,195738,472480,8445.41,4416.97,8766.47,28108.7,-558.773,7232.66,5.4433
1.12975e+06,2950.93,536937,266.812,28783.6,14870.7,52741.1,26304.2,2684.35,35453.6,5.45043
460416,1470.06,139956,10892,8796.61,11164.2,18254.9,10640,866.688,13768.4,5.46846
936787,2894.94,306257,39790.6,30788,23668.4,26806.5,66810.1,10170.7,34772.8,5.48008
370972,1467.02,161051,19014.5,14874.5,13735.9,16542.8,48845.5,9848.41,24000.2,5.48251
711372,2143.49,251214,-7355.97,23605.9,22161.3,25442,55449.3,-3292.89,47654,5.49611
553936,1849.2,126320,495454,6827.98,20735.3,12120.7,28412,-952.9,19488.5,5.54144
513658,1742.64,265323,3086.62,2767.63,1572.15,15279.6,624.011,556.646,947.526,5.56795
433396,1620.36,149158,975.908,6618.3,6428.72,5331.61,4593.07,-360.269,5367.67,5.58444
1.28942e+06,3253.47,612663,-455.22,36652.8,24710.2,40868.3,86759.7,-1902.66,32375.2,5.58588
350454,1403.61,124582,-3281.84,10361.7,6997.62,9596.1,15758.5,-348.069,5858.79,5.58784
636373,1725.94,283152,-21168.4,30594.3,24397.1,15792.2,31874.8,25112.7,21988,5.59232
560480,1746.6,211416,626.156,14883,6498.73,14400.4,25154.7,171.667,5437.28,5.6014
465640,1899.6,273923,-10705.8,15959.4,14933.9,13938.5,34470.6,-2131.75,19226,5.60227
712935,2274.68,234247,-17466.5,16988.3,31446.9,14791.8,51482.9,2278.74,18935.2,5.61063
471448,1756.88,105504,345838,2850.92,11411.6,7636.12,16474.3,-4959,9223.56,5.61296
323067,1292.75,71680.3,5503.05,1680.36,1385.41,4742.42,5645.83,-583.137,3030.46,5.61553
452296,1497.2,157529,9282.15,6747.24,4391.33,9982.19,12785.4,41.3929,4497.63,5.63842
463366,1663.42,68628,4536.76,10276.3,1611.97,15008,26328.4,278.532,5804.16,5.65607
334213,1371.26,130710,1299.45,5847.03,2438.66,6531.86,12356.5,-1109.56,1940.17,5.66693
396252,1596.58,97736.7,594064,1119.2,519.023,12035.8,16546.7,2575.85,21836.7,5.69879
