"FSC-A","FSC-Width","SSC-A","R712-APCA700-A","V450-PB-A","B690-PC5.5-A","Y585-PE-A","Y610-mCHERRY-A","Y763-PC7-A","R660-APC-A","Time"
469483,1768.61,98346.4,5271.47,16413.3,13337.9,8152.85,41725.2,1018.55,10134.2,2.80963
321294,1289.61,110904,1.91049,7339.23,7028.46,5487.75,23510.6,956.443,7452.07,2.82489
584881,1927.96,183474,3203.92,17372.1,21327.2,15407.1,45241.7,-288.973,15766.6,2.84333
446720,1673.89,156045,6654.2,15352.7,21915.1,10673.8,34498,4875.82,13799.1,2.86193
768074,2103.41,389933,4787.71,20080.1,38509.3,25267.7,43176.8,8120.99,20327.9,2.86193
432398,1609.11,166765,814.833,8420.75,7610,8962.56,8595.63,-710.203,4947.35,2.87203
807767,2176.76,242012,10451.9,24988.1,17611.8,21698.3,81693.1,17504.2,38146.7,2.88826
695351,2391.77,307043,35437.2,15653.2,8493.27,17138.8,72029,9430.21,16153.1,2.8954
572645,1913.6,296670,-18249,26719.9,13112,36108.3,4849.33,-7802.4,12256.4,2.89808
352745,1333,167731,-2337.51,5041.57,6787.81,3621.84,2272.94,292.397,2828.09,2.90516
425672,1609.44,96758.2,264.693,6268.72,6266.26,5880.84,25797,1661.92,6881.53,2.91198
854761,2147.22,420809,-40841.2,23080.9,35421.8,17735.5,19655.3,-6819.79,24692.5,2.91276
747014,2173.13,573501,-70.197,20344.1,16810.6,23387.7,25565.4,3604.37,14059.5,2.93534
423061,1685.34,112226,3360.86,6574.12,1673.83,9924.96,22083.9,66.8316,3715.08,2.94218
390268,1376.99,110090,-2445.04,7938.25,4814.16,5241.4,14733.9,4692.87,7309.12,2.9476
699748,2300.56,337258,26232.2,47272.3,51670.3,36380.9,84216.2,14500.2,35759.1,2.9515
454002,1599.52,163189,-986.772,8494.93,8219.97,15680.5,12042.2,2807.72,7607.74,2.96848
683403,2161.28,214240,12975.8,28088.6,11205.6,21261.1,71383.6,1135.74,20518.5,3.03173
425876,1590.11,232599,1916.69,11658.4,8297.41,15211.5,27930.9,19719.3,16108.3,3.03913
839076,2347.22,409692,-1904.45,12828.8,17373.1,17215.5,39020.1,-875.602,20044.5,3.05667
370620,1377.57,128001,-1259.13,6498.74,3901.31,5522.22,6726.6,-1779.78,3147.16,3.06307
331846,1275.29,71990.6,14970.1,4182.58,2459.07,8806.66,24497.4,7429.41,13976.2,3.08133
433483,1664.04,114089,2948.51,7861.56,4534.2,12443.2,29348.3,-232.809,9459.88,3.09005
375724,1521.1,62306.5,1704.85,3150.2,977.877,4183.64,29244.6,-935.26,2641.82,3.12802
694238,2027.57,301590,-2585.24,26711.8,21032.9,13531.9,51325.2,4089.96,14179.1,3.18552
285215,1162.14,111984,-859.762,3074.72,11998,7880.49,10528.4,-2240.64,4294.56,3.20528
285238,1161.79,101256,-17588,10574.1,13164.6,8909.5,17419.5,-2206.04,7784.33,3.25599
335185,1315.41,76945.8,132.061,7592.93,4501.51,5059.04,16778.7,2955.01,4128.36,3.27241
328248,1292.39,88079.6,-1634.42,2738.49,2289.38,7636.6,1232.08,-519.741,2323.54,3.28401
1.41097e+06,3858.74,494687,23831.6,73563.1,18831.7,34925.5,124494,11073.7,30316.8,3.28787
754811,2820.9,325978,20564.6,51165.2,26503.2,26940,111516,6202.13,30343.4,3.29745
697202,2004.35,263176,-14646.8,32755.6,30894.7,17939.3,51421.6,6278.64,26192.3,3.35267
955833,2675.53,1.67302e+06,-6874.29,91103,90534.6,37968.4,44261.4,-32863.9,59969.6,3.35431
537875,1984.61,163172,381.496,3892.19,3314.9,4835.77,2829.19,40.4239,6474.07,3.3804
516456,1819.86,210881,2697.79,2917.81,495.104,5124.35,5522.74,1016.04,731.98,3.39334
388002,1405.45,172166,-1245.91,4421.08,2924.12,2041.51,1963.56,-374.673,2575.64,3.45668
318167,1265.31,139698,-1959.2,4456.34,2152.67,5269.25,1763.6,-311.159,2438.68,3.4806
1.44477e+06,3042.27,5.75235e+06,8547.25,45257.7,-1861.11,8536.14,-7148.13,15827.9,19217.5,3.58491
664995,1781.82,266660,5802.97,14460.2,18631.5,22864.6,22755.1,2705.82,14838.2,3.60969
