FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF-A,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
689584,369056,234637,1487550,877584,147568,3816.82,11327.8,277.783,-69.9146,-195.634,208.97,552.066
1305230,677885,704001,4194300,2157440,345972,22282.1,8326.62,-265.524,68.1816,-108.83,-583.746,-346.367
944312,556535,248590,1588050,1147970,177093,7476.27,9862.33,-629.4,286.79,-18.0024,-331.028,269.132
979988,515161,281641,2202600,1133380,145867,4063.43,16106.7,-85.7662,90.2542,-360.209,-337.376,264.174
645344,404566,147126,892069,637816,105509,2648.51,4212.21,-494.297,376.076,-251.912,-375.129,-67.8883
918557,405876,359894,2825410,1291300,159811,7138.79,11334.3,-274.077,381.14,303.922,23.4519,-12.8226
615319,420411,225604,1391830,1040230,166519,4318.91,8258.24,163.036,147.675,-368.174,87.3728,-80.9407
996664,476233,297381,1734440,940977,162458,7680.64,13474.1,-455.928,211.613,-115.605,-117.258,-168.054
1104140,610674,433350,1982170,1160360,249946,6852.76,15293.8,325.18,-161.595,-477.834,35.2158,159.151
512130,268622,447371,2970830,2062500,317950,16606.8,10840.6,178.504,-453.765,-320.991,167.371,141.452
965029,578961,496043,2948910,1782610,303380,7830.53,21976.1,-369.007,-258.682,-205.975,40.2066,-283.079
410637,255233,215381,1576850,984820,138857,4236.37,6935.37,29.4543,-557.418,128.862,111.057,-120.599
1101650,595611,344189,1751200,961602,191401,4218.48,14645.4,-26.8801,-260.733,-359.27,-116.051,-17.0763
1280190,615829,456162,2826030,1791190,287188,43855.1,26815.9,-1504.09,671.08,-1104.21,-95.6912,4129.12
657216,381888,270067,1737720,1145790,180352,4554.98,10989.9,-17.3905,204.094,3.69543,-162.5,-575.883
892832,354759,440487,2761530,1601200,264021,7192.57,32629.9,-52.221,117.205,-587.96,-255.198,-150.345
